bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,6,0,2003-06-10T00:00:00Z,Cherry Lane Music Company
59,The Changeling Sea,Patricia A. McKillip,4.06,141312629,9780141312620,eng,137,4454,302,2003-04-14T00:00:00Z,Firebird
61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9780595321803,eng,228,1176,96,2004-06-08T00:00:00Z,iUniverse
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352,52,4,2005-12-14T00:00:00Z,Archaia
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193,9780374517199,eng,416,562,37,1982-06-01T00:00:00Z,Farrar  Straus and Giroux
76,Heirs of General Practice,John McPhee,4.17,374519749,9780374519742,eng,128,268,22,1986-04-01T00:00:00Z,Farrar  Straus and Giroux
77,The Control of Nature,John McPhee,4.24,374522596,9780374522599,en-US,288,3498,305,1990-09-01T00:00:00Z,Farrar  Straus and Giroux
78,Annals of the Former World,John McPhee,4.34,374518734,9780374518738,eng,720,3115,228,1999-01-06T00:00:00Z,Farrar  Straus and Giroux
79,Coming Into the Country,John McPhee,4.22,374522871,9780374522872,eng,448,5704,261,1991-04-01T00:00:00Z,Farrar  Straus and Giroux
81,Giving Good Weight,John McPhee,4.23,374516006,9780374516000,eng,288,542,36,1994-04-01T00:00:00Z,Farrar  Straus and Giroux
83,Rising from the Plains,John McPhee,4.23,374520658,9780374520656,eng,208,1341,98,1987-11-01T00:00:00Z,Farrar  Straus and Giroux
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,800793617,9780800793616,eng,192,860,53,2003-09-01T00:00:00Z,Chosen Books
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9781852402877,eng,192,34,6,2003-04-28T00:00:00Z,Sovereign World
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476,9780765306470,en-US,592,784,21,2004-07-01T00:00:00Z,Tor Books
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906,9780618212903,eng,192,26153,102,2002-06-12T00:00:00Z,Houghton Mifflin Harcourt
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,69167,4551,1996-09-29T00:00:00Z,Ballantine Books
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,9780385732543,eng,291,45,13,2005-09-13T00:00:00Z,Delacorte Books for Young Readers
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056,9780785260059,en-US,256,16,1,2004-11-01T00:00:00Z,Thomas Nelson
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,9780471933823,eng,260,9,0,2006-06-06T00:00:00Z,Wiley
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492,9780806523491,eng,240,50,5,2005-05-03T00:00:00Z,Citadel
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,9780806525365,eng,206,13,2,2005-05-03T00:00:00Z,Citadel
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002,9780143035008,eng,838,16643,1851,2004-05-31T00:00:00Z,Penguin Classics
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,451528611,9780451528612,eng,960,109420,5696,2002-11-05T00:00:00Z,Signet
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175,9780140449174,eng,837,2904,309,2003-01-30T00:00:00Z,Penguin Books
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9781593080273,eng,803,9564,726,2003-07-01T00:00:00Z,Barnes & Noble Classics
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,486437965,9780486437965,eng,752,474,72,2004-11-23T00:00:00Z,Dover Publications
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9781593081775,eng,803,303,48,2004-08-26T00:00:00Z,Barnes & Noble
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,9780521313254,eng,128,1204,33,1987-11-26T00:00:00Z,Cambridge University Press
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,932863051,9780932863058,eng,100,10,0,1995-01-28T00:00:00Z,Clarity Press
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,1557344035,9781557344038,eng,48,17,0,1991-09-28T00:00:00Z,Teacher Created Resources
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,380720442,9780380720446,eng,360,1035,23,1994-10-01T00:00:00Z,Harper Perennial
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,821925326,9780821925324,eng,250,36,6,2002-05-01T00:00:00Z,EMC/Paradigm Publishing
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,751506435,9780751506433,eng,367,376,17,1994-06-01T00:00:00Z,Little  Brown Book Group
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,3086,237,2006-01-03T00:00:00Z,William Morrow
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9781400032488,eng,215,731,72,2005-03-08T00:00:00Z,Vintage Crime/Black Lizard
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,140366601,9780140366600,eng,287,81,6,1996-10-03T00:00:00Z,Puffin
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,811201120,9780811201124,eng,217,981,52,1964-02-01T00:00:00Z,New Directions Publishing
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,802151787,9780802151780,eng,316,3261,58,1994-01-13T00:00:00Z,Grove Press
288,Kahlil Gibran: His Life and World,Jean Gibran/Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†/Kahlil Gibran,4.21,156656249X,9781566562492,eng,464,35,2,1998-04-01T00:00:00Z,Interlink Publishing Group
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,9780140195538,eng,102,328,16,1998-01-01T00:00:00Z,Penguin Books
292,Sand and Foam,Kahlil Gibran/Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†,4.08,067943920X,9780679439202,eng,100,3015,217,2011-06-14T00:00:00Z,Knopf
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,9781577658054,eng,232,91,16,2006-01-31T00:00:00Z,Abdo Publishing Company
313,100 Years of Lynchings,Ralph Ginzburg,4.61,933121180,9780933121188,eng,270,88,4,1996-11-22T00:00:00Z,Black Classic Press
330,On Beyond Zebra!,Dr. Seuss,4.04,394800842,9780394800844,eng,64,2815,164,1955-09-12T00:00:00Z,Random House Books for Young Readers
348,The Door Into Summer,Robert A. Heinlein,4.01,345413997,9780345413994,eng,304,17232,649,1997-06-17T00:00:00Z,Del Rey
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,9780671742515,en-US,307,67803,1401,1991-02-15T00:00:00Z,Pocket Books
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,9780345476517,eng,368,2623,49,2005-12-27T00:00:00Z,Del Rey
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,573650969,9780573650963,eng,72,100,13,2011-01-12T00:00:00Z,Samuel French  Inc.
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,671867423,9780671867423,en-US,317,120,15,1993-06-12T00:00:00Z,Simon & Schuster
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,395883970,9780395883976,eng,32,5239,76,1998-02-02T00:00:00Z,HMH Books for Young Readers
409,Against the Day,Thomas Pynchon,4.13,159420120X,9781594201202,eng,1085,5296,587,2006-11-21T00:00:00Z,Penguin Press
412,Gravity's Rainbow,Thomas Pynchon,4.01,140283382,9780140283389,eng,784,762,213,2000-01-01T00:00:00Z,Penguin Books
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,312423209,9780312423209,eng,773,8086,602,2004-01-03T00:00:00Z,Picador USA
415,Gravity's Rainbow,Thomas Pynchon,4.01,143039946,9780143039945,eng,776,29764,2164,2006-10-31T00:00:00Z,Penguin Books
421,The White Album,Joan Didion,4.17,374522219,9780374522216,eng,222,11889,738,1990-10-01T00:00:00Z,Farrar Straus Giroux
424,Slouching Towards Bethlehem,Joan Didion,4.21,374521727,9780374521721,eng,238,26934,1825,1990-10-01T00:00:00Z,Farrar Straus Giroux
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,307264874,9780307264879,eng,1122,1564,108,2006-10-17T00:00:00Z,Everyman's Library
477,Collapse of Complex Societies,Joseph A. Tainter,4.15,052138673X,9780521386739,eng,262,719,86,1990-03-29T00:00:00Z,Cambridge University Press
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,393318281,9780393318289,eng,576,278,20,1998-09-17T00:00:00Z,W. W. Norton  Company
493,My Inventions,Nikola Tesla,4.01,1599869942,9781599869940,eng,88,2862,262,2006-05-17T00:00:00Z,Filiquarian Publishing  LLC.
498,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,932813860,9780932813862,eng,100,102,2,2000-12-01T00:00:00Z,Adventures Unlimited Press
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,974514055,9780974514055,en-US,828,1577,49,2004-10-11T00:00:00Z,Pragmatic Bookshelf
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,812969707,9780812969702,eng,397,1693,100,2006-09-12T00:00:00Z,Random House
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,60255080,9780060255084,eng,216,1,0,1989-01-01T00:00:00Z,HarperCollins Publishers
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,802789471,9780802789471,eng,32,1773,274,2005-04-01T00:00:00Z,Walker & Company
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,451528808,9780451528803,eng,304,7300,266,2003-04-01T00:00:00Z,Signet Classics
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,192833987,9780192833983,eng,1392,211671,6245,1998-06-25T00:00:00Z,Oxford University Press
658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,486451380,9780486451381,eng,352,2403,210,2006-09-08T00:00:00Z,Dover Publications
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,375755195,9780375755194,eng,192,12180,630,2002-09-17T00:00:00Z,Random House Trade Paperbacks
759,Collected Stories,Gabriel GarcÃ­a MÃ¡rquez/Gregory Rabassa/J.S. Bernstein,4.19,60932686,9780060932688,eng,352,6375,179,2008-05-13T00:00:00Z,Harper Perennial Modern Classics
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,375708111,9780375708114,eng,425,32569,1058,2004-09-02T00:00:00Z,Vintage Books USA
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29,086171492X,9780861714926,eng,288,37,6,2005-05-15T00:00:00Z,Wisdom Publications
816,Cryptonomicon,Neal Stephenson,4.25,60512806,9780060512804,eng,1139,83184,4249,2002-11-01T00:00:00Z,Avon
822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,60733357,9780060733353,en-US,815,19320,565,2005-06-14T00:00:00Z,William Morrow Paperbacks
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19,553380966,9780553380965,eng,499,71042,2767,2000-05-02T00:00:00Z,Spectra
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,60833181,9780060833183,en-US,464,1567,65,2006-03-28T00:00:00Z,HarperTorch
830,Snow Crash,Neal Stephenson/Guy Abadia,4.03,553380958,9780553380958,eng,438,188100,6612,2000-08-02T00:00:00Z,Bantam Books
834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,4.16,1880685353,9781880685358,eng,450,1474,30,2005-06-01T00:00:00Z,Two Plus Two Publishing LLC
835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,4.24,1880685337,9781880685334,eng,381,1929,72,2004-12-01T00:00:00Z,Two Plus Two Publishing LLC
840,The Design of Everyday Things,Donald A. Norman,4.17,465067107,9780465067107,eng,240,18602,1379,2002-09-19T00:00:00Z,Basic Books
842,The Psychology of Everyday Things,Donald A. Norman,4.17,465067093,9780465067091,eng,257,265,31,1988-06-13T00:00:00Z,Basic Books
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27,898709199,9780898709193,en-GB,259,51,7,2006-04-30T00:00:00Z,Ignatius Press
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,142150460X,9781421504605,eng,192,9013,153,2006-09-19T00:00:00Z,VIZ Media LLC
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,1591169259,9781591169253,eng,192,16666,299,2005-09-13T00:00:00Z,VIZ Media LLC
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,1421504596,9781421504599,eng,192,11451,161,2006-07-18T00:00:00Z,VIZ Media LLC
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.5,1591169208,9781591169208,eng,192,111091,1427,2005-05-03T00:00:00Z,VIZ Media LLC
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,1591169291,9781591169291,eng,200,10752,294,2005-11-08T00:00:00Z,VIZ Media LLC
873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52,1591169232,9781591169239,eng,192,14923,419,2005-07-05T00:00:00Z,VIZ Media LLC
902,The Westing Game,Ellen Raskin,4.02,014240120X,9780142401200,eng,182,142121,8782,2004-04-12T00:00:00Z,Puffin
929,Memoirs of a Geisha,Arthur Golden,4.11,1400096898,9781400096893,eng,503,280309,3703,2005-11-22T00:00:00Z,Vintage Books USA
930,Memoirs of a Geisha,Arthur Golden,4.11,739326228,9780739326220,eng,434,1301083,19296,2005-11-15T00:00:00Z,Random House Large Print Publishing
931,Memoirs of a Geisha,Arthur Golden,4.11,99498189,9780099498186,en-US,497,2122,256,2005-12-01T00:00:00Z,Vintage
932,Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,4.08,1557046832,9781557046833,eng,144,145,8,2005-10-20T00:00:00Z,Newmarket Press
933,Memoirs of a Geisha,Arthur Golden,4.11,99771519,9780099771517,eng,497,4189,462,1998-06-04T00:00:00Z,Vintage
955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.7,802415318,9780802415318,eng,0,22,4,2005-01-01T00:00:00Z,Moody Publishers
987,A Killing Rain (Louis Kincaid  #6),P.J. Parrish,4.04,078601606X,9780786016068,eng,383,456,41,2005-02-01T00:00:00Z,Pinnacle
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,4.03,671015206,9780671015206,eng,258,61760,2600,1998-10-01T00:00:00Z,Gallery Books
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,1585424331,9781585424337,eng,320,88897,2334,2005-09-01T00:00:00Z,Tarcherperigee
1007,Think and Grow Rich,Napoleon Hill,4.18,1932429239,9781932429237,eng,368,48,9,2004-08-07T00:00:00Z,High Roads Media
1052,The Richest Man in Babylon,George S. Clason,4.26,451205367,9780451205360,eng,194,76451,3400,2008-02-01T00:00:00Z,Berkley Books
1053,The Richest Man in Babylon,George S. Clason,4.26,1419349996,9781419349997,eng,4,86,15,2005-06-17T00:00:00Z,Recorded Books  Inc.
1059,Shibumi,Trevanian/Gisela Stege,4.21,1400098033,9781400098033,eng,480,9498,637,2005-05-10T00:00:00Z,Broadway Books
1067,1776,David McCullough,4.07,743226720,9780743226721,eng,386,166916,6243,2006-07-04T00:00:00Z,Simon  Schuster
1068,1776,Peter  Stone/Sherman Edwards,4.22,140481397,9780140481396,eng,192,1299,30,1976-11-18T00:00:00Z,Penguin Books
1103,Snow Flower and the Secret Fan,Lisa See,4.07,812968069,9780812968064,eng,269,297533,14935,2006-02-21T00:00:00Z,Random House
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.51,394720245,9780394720241,eng,1344,11208,1237,1975-07-12T00:00:00Z,Vintage
1130,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,4.13,471743674,9780471743675,en-US,245,228,16,2005-10-01T00:00:00Z,John Wiley & Sons
1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,4.07,471430455,9780471430452,eng,432,39,1,2003-04-18T00:00:00Z,Wiley
1171,Liar's Poker,Michael   Lewis,4.15,140143459,9780140143454,eng,256,22843,936,1990-10-01T00:00:00Z,Penguin Books
1188,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,4.08,1841721476,694055000612,eng,64,8,2,2001-03-01T00:00:00Z,Ryland Peters & Small
1193,Everyday Pasta,Giada De Laurentiis/Victoria Pearson,4.09,307346587,9780307346582,eng,240,8822,55,2007-04-03T00:00:00Z,Clarkson Potter
1196,Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,4.09,1400052386,9781400052387,eng,256,3697,34,2006-09-26T00:00:00Z,Clarkson Potter
1197,Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,4.06,609609971,9780609609972,eng,304,1426,16,2003-03-25T00:00:00Z,Clarkson Potter Publishers
1218,The Last Assassin (John Rain  #5),Barry Eisler,4.27,399153594,9780399153594,eng,338,189,25,2006-06-01T00:00:00Z,Putnam Publishing Group
1246,The Leadership Challenge,James M. Kouzes/Barry Z. Posner,4.05,787968331,9780787968335,en-US,458,873,40,2003-08-07T00:00:00Z,Jossey-Bass
1252,Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,4.14,446394599,9780446394598,eng,193,5354,281,1993-02-01T00:00:00Z,Business Plus
1295,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05,553381679,9780553381672,eng,512,184418,4432,2002-06-25T00:00:00Z,Bantam
1296,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05,517542021,9780517542026,eng,468,495,67,1980-05-04T00:00:00Z,Crown Publishing Group
1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.26,393324818,9780393324815,eng,317,85094,4155,2004-03-17T00:00:00Z,W. W. Norton  Company
1303,The 48 Laws of Power,Robert Greene/Joost Elffers,4.18,140280197,9780140280197,eng,452,60946,3167,2000-09-01T00:00:00Z,Penguin (Business)
1305,Gates of Fire,Steven Pressfield,4.42,055338368X,9780553383683,eng,392,21934,1629,2005-09-27T00:00:00Z,Bantam
1307,Fire Sea (The Death Gate Cycle  #3),Margaret Weis/Tracy Hickman,4.07,553295411,9780553295412,eng,414,16312,175,1992-03-01T00:00:00Z,Spectra Books
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,4,446691437,9780446691437,eng,168,53653,4702,2003-04-01T00:00:00Z,Warner Books
1326,Phaedrus and Letters VII and VIII,Plato/Walter Hamilton,4.1,140442758,9780140442755,en-US,160,226,20,1973-01-30T00:00:00Z,Penguin Classics
1334,Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett,4.47,879756322,9780879756321,eng,157,14,0,1991-12-01T00:00:00Z,Prometheus Books
1337,Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,4.5,189031823X,9781890318239,eng,125,26,4,2019-02-11T00:00:00Z,St. Augustines Press
1338,On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato/C.D.C. Reeve,4.06,872207889,9780872207882,eng,272,154,4,2006-06-15T00:00:00Z,Hackett Publishing Company  Inc.
1342,Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.,4.35,801435307,9780801435300,eng,233,18,1,1998-09-01T00:00:00Z,Cornell University Press
1375,The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox,4.04,147712556,9780147712554,eng,1556,54939,380,1999-11-01T00:00:00Z,Penguin Classics
1391,Aeneid: Selections from Books 1  2  4  6  10  12,Virgil/Barbara Weiden Boyd,4.35,086516584X,9780865165847,eng,161,69,6,2001-01-01T00:00:00Z,Bolchazy-Carducci Publishers
1403,City Eclogue,Ed Roberson,4.13,1891190237,9781891190230,eng,136,67,7,2006-01-30T00:00:00Z,Atelos Press
1417,The Complete Pelican Shakespeare,William Shakespeare/Stephen Orgel/A.R. Braunmuller,4.5,141000589,9780141000589,eng,1808,578,25,2002-11-07T00:00:00Z,Viking
1419,The Complete Works,William Shakespeare,4.5,517092948,9780517092941,eng,1248,62,6,1991-10-13T00:00:00Z,Gramercy
1420,Hamlet,William Shakespeare/Harold Bloom/Rex Gibson,4.02,521618746,9780521618748,eng,289,609271,7139,2005-08-01T00:00:00Z,Cambridge University Press
1423,The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield,4.44,1557831572,9781557831576,eng,137,8159,118,1994-02-01T00:00:00Z,Applause Books
1433,Hamlet,William Shakespeare/Stephen Orgel/A.R. Braunmuller,4.02,140714545,9780140714548,eng,148,1658,125,2001-12-01T00:00:00Z,Penguin Books
1438,Shakespeare's Hamlet,William Shakespeare/Terri Mategrano,4.02,764585681,9780764585685,eng,240,102,16,2000-05-29T00:00:00Z,Cliffs Notes
1439,Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,Giorgio De Santillana/Hertha Von Dechend,4.29,879232153,9780879232153,eng,450,489,57,2015-03-24T00:00:00Z,Nonpareil Books
1459,History of the Peloponnesian War  Bk. 7-8,Thucydides/C.F. Smith,4.29,674991877,9780674991873,eng,480,35,0,1923-01-01T00:00:00Z,Harvard University Press
1461,Thucydides  Book 6 Commentary,Cynthia W. Shelmerdine,4.5,929524357,9780929524351,eng,34,2,0,1989-01-30T00:00:00Z,Bryn Mawr Commentaries
