bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,1557344035,9781557344038,eng,48,17,0,1991-09-28T00:00:00Z,Teacher Created Resources
288,Kahlil Gibran: His Life and World,Jean Gibran/Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†/Kahlil Gibran,4.21,156656249X,9781566562492,eng,464,35,2,1998-04-01T00:00:00Z,Interlink Publishing Group
420,The Year of Magical Thinking,Joan Didion,3.89,140004314X,9781400043149,en-US,227,2656,336,2005-10-04T00:00:00Z,Knopf Publishing Group
421,The White Album,Joan Didion,4.17,374522219,9780374522216,eng,222,11889,738,1990-10-01T00:00:00Z,Farrar Straus Giroux
422,A Book of Common Prayer,Joan Didion,3.8,679754865,9780679754862,eng,272,2962,255,1995-04-11T00:00:00Z,Vintage International
423,Where I Was From,Joan Didion,3.86,679752862,9780679752868,eng,240,2842,292,2004-09-14T00:00:00Z,Vintage
424,Slouching Towards Bethlehem,Joan Didion,4.21,374521727,9780374521721,eng,238,26934,1825,1990-10-01T00:00:00Z,Farrar Straus Giroux
425,Democracy,Joan Didion,3.81,679754857,9780679754855,en-US,234,2070,169,1995-04-25T00:00:00Z,Vintage International
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,307264874,9780307264879,eng,1122,1564,108,2006-10-17T00:00:00Z,Everyman's Library
428,Play It As It Lays,Joan Didion/David Thomson,3.87,374529949,9780374529949,eng,231,23656,1706,2005-11-15T00:00:00Z,Farrar  Straus and Giroux
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,143036556,9780143036555,eng,608,52522,2780,2005-12-27T00:00:00Z,Penguin Books Ltd. (London)
477,Collapse of Complex Societies,Joseph A. Tainter,4.15,052138673X,9780521386739,eng,262,719,86,1990-03-29T00:00:00Z,Cambridge University Press
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,393318281,9780393318289,eng,576,278,20,1998-09-17T00:00:00Z,W. W. Norton  Company
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,373792689,9780373792689,eng,249,478,12,2006-06-27T00:00:00Z,Harlequin Blaze
619,Vice (V  #8),Jane Feather,3.51,553572490,9780553572490,eng,419,474,19,1996-05-02T00:00:00Z,Bantam
643,Motorcycle Basics Techbook,John Harold Haynes,3.85,185960515X,9781859605158,eng,222,40,2,2002-07-05T00:00:00Z,Haynes Manuals N. America  Inc.
672,Sailing for Dummies,J.J. Isler/Peter Isler,3.95,471791431,9780471791430,eng,416,150,7,2006-06-01T00:00:00Z,For Dummies
707,Naked Pictures of Famous People,Jon   Stewart,3.59,688171621,9780688171629,en-GB,164,8703,417,1999-09-22T00:00:00Z,Dey Street Books
890,Of Mice and Men,John Steinbeck,3.87,142000671,9780142000670,eng,103,1755253,25554,2002-01-08T00:00:00Z,Penguin Books
941,Love As A Foreign Language #5,J. Torres/Eric  Kim,3.44,1932664394,9781932664393,eng,58,9,2,2006-02-01T00:00:00Z,Oni Press
1110,The Broker,John Grisham,3.78,385340540,9780385340540,eng,422,72361,2334,2006-09-26T00:00:00Z,Delta
1241,A Million Little Pieces,James Frey,3.65,307276902,9780307276902,eng,515,206011,10821,2005-09-22T00:00:00Z,Anchor Books
1243,A Million Little Lies,James Pinocchio/Pablo Fenjves,3.41,61171468,9780061171468,en-US,191,201,24,2006-03-28T00:00:00Z,William Morrow Paperbacks
1246,The Leadership Challenge,James M. Kouzes/Barry Z. Posner,4.05,787968331,9780787968335,en-US,458,873,40,2003-08-07T00:00:00Z,Jossey-Bass
1274,Men Are from Mars  Women Are from Venus,John Gray,3.55,60574216,9780060574215,eng,368,132062,3303,2012-04-03T00:00:00Z,Harper Paperbacks
1276,Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray,3.62,60192771,9780060192778,en-US,368,18,1,1998-10-21T00:00:00Z,Harper
1281,Men Are from Mars  Women Are from Venus,John Gray,3.55,006123205X,9780061232053,eng,2,43,3,2007-04-03T00:00:00Z,HarperAudio
1295,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05,553381679,9780553381672,eng,512,184418,4432,2002-06-25T00:00:00Z,Bantam
1296,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05,517542021,9780517542026,eng,468,495,67,1980-05-04T00:00:00Z,Crown Publishing Group
1337,Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,4.5,189031823X,9781890318239,eng,125,26,4,2019-02-11T00:00:00Z,St. Augustines Press
1823,Them: Adventures with Extremists,Jon Ronson,3.95,743233212,9780743233217,eng,336,11990,831,2003-01-07T00:00:00Z,Simon  Schuster
1824,The Men Who Stare at Goats,Jon Ronson,3.61,743270606,9780743270601,eng,259,10679,899,2006-04-10T00:00:00Z,Simon  Schuster
1839,Guns  Germs and Steel: The Fates of Human Societies,Jared Diamond,4.03,393061310,9780393061314,eng,518,4356,404,2005-07-11T00:00:00Z,W.W. Norton
1845,Into the Wild,Jon Krakauer,3.98,385486804,9780385486804,eng,207,800349,18198,1997-01-20T00:00:00Z,Anchor Books
1846,Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,3.92,785268839,9780785268833,eng,256,55106,1503,2001-04-01T00:00:00Z,Thomas Nelson
1848,Wild Swans: Three Daughters of China,Jung Chang,4.26,743246985,9780743246989,eng,562,73572,4280,2003-08-12T00:00:00Z,Simon  Schuster
1852,The Call of the Wild,Jack London/Avi,3.86,439227143,9780439227148,eng,172,274649,7203,2001-01-01T00:00:00Z,Scholastic
1853,Wild About Books,Judy Sierra/Marc Brown,4.17,037582538X,9780375825385,eng,40,4541,378,2004-08-10T00:00:00Z,Alfred A. Knopf Books for Young Readers
1888,Pride and Prejudice,Jane Austen,4.26,192802380,9780192802385,eng,333,2399,253,2004-02-11T00:00:00Z,Oxford University Press
1889,Pride & Prejudice,Jane Austen/Vivien Jones,4.26,143036238,9780143036234,eng,392,1821,210,2005-09-01T00:00:00Z,Penguin Books
1891,Pride and Prejudice,Jane Austen/George Saintsbury/Hugh  Thomson,4.26,486440915,9780486440910,eng,476,1146,166,2005-05-05T00:00:00Z,Dover Publications
1893,Pride and Prejudice,Jane Austen/Carol Howard,4.26,1593083246,9781593083243,eng,392,1628,171,2004-09-20T00:00:00Z,Barnes  Noble Classics
1894,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,4,1400032806,9781400032808,eng,399,7481,1022,2003-07-10T00:00:00Z,Anchor Books
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.17,385494785,9780385494786,eng,368,351406,11701,1999-10-19T00:00:00Z,Anchor Books
1972,Den of Thieves,James B. Stewart,4.16,067179227X,9780671792275,en-US,592,9718,216,1992-09-01T00:00:00Z,Simon  Schuster
1976,Den of Thieves (Cat Royal  #3),Julia Golding,4.21,1405228180,9781405228183,eng,416,1432,61,2007-01-31T00:00:00Z,Egmont Books Ltd
1988,Charles Dickens,Jane Smiley,3.82,670030775,9780670030774,eng,224,552,81,2002-05-13T00:00:00Z,Viking
1991,Why Is Sex Fun? The Evolution of Human Sexuality (Science Masters),Jared Diamond,3.71,465031269,9780465031269,eng,176,4532,278,1998-09-25T00:00:00Z,Basic Books
1993,The Third Chimpanzee: The Evolution & Future of the Human Animal,Jared Diamond,4.06,60183071,9780060183073,eng,407,59,1,1992-01-01T00:00:00Z,HarperCollins Publishers
2002,Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,4.4,043932162X,9780439321624,eng,240,11515,139,2001-11-01T00:00:00Z,Arthur A. Levine
2005,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,747584664,9780747584667,eng,768,1213,78,2006-06-23T00:00:00Z,Bloomsbury Publishing
2102,Stephen Hawking's Universe,John Boslough,4.02,380707632,9780380707638,eng,160,674,30,1989-06-01T00:00:00Z,Avon
2126,The 3-Hour Diet: On the Go,Jorge Cruise,3.1,60793198,9780060793197,en-US,192,31,2,2005-10-18T00:00:00Z,William Morrow Paperbacks
2151,The Complete Novels,Jane Austen/Hugh  Thomson,4.55,517147688,9780517147689,eng,1103,300,31,1995-09-03T00:00:00Z,Gramercy Books
2153,Jane Austen: The Complete Novels,Jane Austen,4.55,517118297,9780517118290,eng,1103,267,24,1994-06-01T00:00:00Z,Gramercy Books
2155,Jane Austen's Letters,Jane Austen/Deirdre Le Faye,4.16,192832972,9780192832979,eng,672,2278,69,1997-04-03T00:00:00Z,Oxford University Press  USA
2156,Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,4.14,192802631,9780192802637,eng,249,441462,11308,2004-03-18T00:00:00Z,Oxford University Press
2167,Cliffs Notes on Hemingway's The Old Man and the Sea,Jeanne Sallade Criswell/Gary Carey,2.83,764586602,9780764586606,en-US,80,4,0,2000-12-05T00:00:00Z,Cliffs Notes
2176,Flaubert's Parrot,Julian Barnes,3.66,679731369,9780679731368,eng,190,9373,606,1990-11-27T00:00:00Z,Vintage
2186,The Family Idiot 5: Gustave Flaubert 1821-1857,Jean-Paul Sartre/Carol Cosman,3.8,226735192,9780226735191,en-US,632,5,1,1994-01-26T00:00:00Z,University of Chicago Press
2187,Middlesex,Jeffrey Eugenides,4,312422156,9780312422158,eng,529,540349,19548,2003-09-16T00:00:00Z,Picador USA
2209,Passionate Sage: The Character and Legacy of John Adams,Joseph J. Ellis,4.05,393311333,9780393311334,eng,288,2622,78,2001-02-17T00:00:00Z,W. W. Norton  Company
2211,The Portable John Adams,John  Adams/John Patrick Diggins,4.17,142437786,9780142437780,eng,533,57,0,2004-06-29T00:00:00Z,Penguin Books
2219,Baby Signing For Dummies,Jennifer Watson,3.64,471773867,9780471773863,eng,257,37,9,2006-10-01T00:00:00Z,John Wiley & Sons
2267,23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson/Graham   Watson,3.67,306814552,9780306814556,eng,344,360,26,2005-06-15T00:00:00Z,Da Capo Press
2327,The Letters of J.R.R. Tolkien,J.R.R. Tolkien/Humphrey Carpenter/Christopher Tolkien,4.15,618056998,9780618056996,eng,502,4689,171,2000-06-06T00:00:00Z,Mariner Books
2329,The History of the Lord of the Rings (The History of Middle-earth #6-9),J.R.R. Tolkien/Christopher Tolkien,4.38,618083553,9780618083558,en-US,1680,237,3,2000-09-01T00:00:00Z,Mariner Books
2331,The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618574999,9780618574995,en-US,1438,232,9,2005-06-01T00:00:00Z,Mariner Books
2333,Farmer Giles of Ham,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond,3.85,618009361,9780618009367,eng,127,5526,225,1999-11-15T00:00:00Z,Houghton Mifflin Harcourt
2373,The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4.19,451188454,9780451188458,eng,528,140014,1753,1998-04-01T00:00:00Z,Signet Book
2388,Moby-Dick,Jan Needle/Patrick Benson/Herman Melville,3.71,763630187,9780763630188,eng,192,161,16,2006-09-12T00:00:00Z,Candlewick Press
2411,Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,3.33,252063023,9780252063022,eng,164,0,0,1993-07-01T00:00:00Z,University of Illinois Press
2499,The Ultimate Time Machine: A Remote Viewer's Perception of Time & Predictions for the New Millennium,Joseph McMoneagle,3.59,157174102X,9781571741028,en-GB,275,68,6,1998-10-01T00:00:00Z,Hampton Roads Publishing Company
2526,Blindness,JosÃ© Saramago/Giovanni Pontiero,4.11,156007754,9780156007757,eng,326,107455,7778,1999-10-04T00:00:00Z,Mariner Books
2527,The Gospel According to Jesus Christ,JosÃ© Saramago/Giovanni Pontiero,4.29,156001411,9780156001410,eng,377,799,107,1994-09-28T00:00:00Z,Harcourt
2528,All the Names,JosÃ© Saramago/Margaret Jull Costa,3.89,156010593,9780156010597,eng,245,11016,734,2001-10-05T00:00:00Z,Mariner Books
2529,The Tale of the Unknown Island,JosÃ© Saramago/Peter SÃ­s/Margaret Jull Costa,3.89,156013037,9780156013031,eng,64,3331,242,2000-10-05T00:00:00Z,Mariner Books
2530,Baltasar and Blimunda,JosÃ© Saramago/Giovanni Pontiero,3.92,156005204,9780156005203,eng,346,6184,284,1998-10-16T00:00:00Z,Mariner Books
2531,The Cave,JosÃ© Saramago/Margaret Jull Costa,3.84,156028794,9780156028790,eng,307,7649,548,2003-10-15T00:00:00Z,Mariner Books
2535,The Stone Raft,JosÃ© Saramago/Giovanni Pontiero,3.8,156004011,9780156004015,en-US,292,308,30,1996-06-14T00:00:00Z,Mariner Books
2536,The Year of the Death of Ricardo Reis,JosÃ© Saramago/Giovanni Pontiero,4.02,1860465021,9781860465024,eng,384,3826,191,1998-09-17T00:00:00Z,Vintage Classics
2542,The History of the Siege of Lisbon,JosÃ© Saramago/Giovanni Pontiero,3.81,156006243,9780156006248,eng,314,331,62,1998-09-01T00:00:00Z,Mariner Books
2551,On the Road,Jack Kerouac,3.63,143036386,9780143036388,eng,320,488,39,2005-09-06T00:00:00Z,Penguin Books
2552,On the Road,Jack Kerouac/Ann Charters,3.63,141182679,9780141182674,eng,281,5575,502,2000-02-24T00:00:00Z,Penguin Books
2560,Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,5,382960226X,9783829602266,eng,83,1,0,2006-09-01T00:00:00Z,Schirmer Mosel
2677,A Modest Proposal and Other Satirical Works,Jonathan Swift,4.05,486287599,9780486287591,eng,64,13562,141,1996-02-02T00:00:00Z,Dover Publications
2678,Gulliver's Travels / A Modest Proposal,Jonathan Swift/Jesse Gale,3.79,1416500391,9781416500391,eng,416,2161,50,2005-08-01T00:00:00Z,Simon  Schuster
2756,New Media Language,Jean Aitchison/Diana M. Lewis,3,415283043,9780415283045,eng,209,2,0,2003-05-22T00:00:00Z,Routledge
2785,The Old Way of Seeing: How Architecture Lost Its Magic - And How to Get It Back,Jonathan Hale,3.92,039574010X,9780395740101,eng,256,81,12,1995-09-01T00:00:00Z,Mariner Books
2978,Lost Horizon,James Hilton,3.92,60594527,9780060594527,eng,241,11892,955,2004-06-15T00:00:00Z,Harper Perennial
3144,Drina Dances in Paris,Jean Estoril,4.16,750000333,9780750000338,eng,194,14,4,1991-04-01T00:00:00Z,Simon and Schuster
3145,Drina Ballerina,Jean Estoril,4.16,750005947,9780750005944,eng,188,8,1,1991-01-17T00:00:00Z,Hodder
3152,Drina Dances in Italy,Jean Estoril,4.08,750012633,9780750012638,eng,191,21,0,1992-08-31T00:00:00Z,Hodder
3155,Drina Goes on Tour,Jean Estoril/Mabel Esther Allan,4.26,750002468,9780750002462,eng,188,112,7,1991-10-20T00:00:00Z,Simon and Schuster
3156,Drina Dances in Madeira,Jean Estoril/Mabel Esther Allan,4.09,750002425,9780750002424,eng,164,139,6,1991-02-06T00:00:00Z,Simon and Schuster
3325,Drina Dances in Switzerland,Jean Estoril/Jenny Sanders,4.02,750002441,9780750002448,eng,188,13,1,1993-08-23T00:00:00Z,Hodder Children's Books
3426,O'Brien's the Things They Carried,Jill Colella/CliffsNotes,3.69,764586688,9780764586682,eng,128,24,2,2000-12-14T00:00:00Z,Cliffs Notes
3507,Twelve Sharp (Stephanie Plum  #12),Janet Evanovich,4.15,312349486,9780312349486,eng,310,81381,1925,2006-06-20T00:00:00Z,St. Martin's Press
3509,Sharp Edges,Jayne Ann Krentz,3.86,671524097,9780671524098,eng,368,2792,73,2004-07-27T00:00:00Z,Pocket Star Books
3536,Love @ First Site,Jane Moore,3.41,767916913,9780767916912,en-US,368,910,74,2006-05-09T00:00:00Z,Broadway Books
3554,The Modern Prince: Charles J. Haughey and the Quest for Power,Justin   O'Brien,3.5,1903582415,9781903582411,eng,212,4,0,2003-04-28T00:00:00Z,Merlin Publishing
3640,Indian Givers: How the Indians of the Americas Transformed the World,Jack Weatherford,4.11,449904962,9780449904961,eng,288,1760,135,1989-11-29T00:00:00Z,Ballantine Books
3656,The Sea,John Banville,3.51,1400097029,9781400097029,eng,195,19308,1803,2006-08-15T00:00:00Z,Vintage
3657,The Sea,John Banville,3.51,307263118,9780307263117,eng,195,586,103,2005-12-07T00:00:00Z,Alfred A. Knopf
3659,The Book of Evidence (The Freddie Montgomery Trilogy #1),John Banville,3.71,375725237,9780375725234,eng,220,3202,278,2001-06-12T00:00:00Z,Vintage
3660,Athena (The Freddie Montgomery Trilogy #3),John Banville,3.66,679736859,9780679736851,eng,240,387,29,1996-05-28T00:00:00Z,Vintage
3661,Doctor Copernicus  (The Revolutions Trilogy #1),John Banville,3.65,679737995,9780679737995,eng,242,583,60,1993-10-12T00:00:00Z,Vintage
3664,Shroud (The Cleave Trilogy #2),John Banville,3.66,037572530X,9780375725302,eng,257,974,81,2004-06-08T00:00:00Z,Vintage
3665,Ghosts,John Banville,3.61,330371851,9780330371858,eng,244,33,3,1998-12-17T00:00:00Z,Picador
3768,Book of Sketches,Jack Kerouac/George Condo,3.8,142002151,9780142002155,eng,432,572,43,2006-04-04T00:00:00Z,Penguin Books
3769,The Dharma Bums,Jack Kerouac,3.92,141184884,9780141184883,en-GB,204,1361,77,2000-08-03T00:00:00Z,Penguin Books Ltd
3770,Book of Haikus,Jack Kerouac,3.91,1904634001,9781904634003,eng,200,25,5,2004-03-02T00:00:00Z,Enitharmon Press
3774,The Subterraneans,Jack Kerouac,3.68,141184892,9780141184890,eng,192,426,42,2007-09-06T00:00:00Z,Penguin Books Ltd
3805,The Corrections,Jonathan Franzen,3.79,1841156736,9781841156736,eng,653,133237,7468,2002-09-02T00:00:00Z,Fourth Estate Paperbacks
3848,Desert Heat (Joanna Brady  #1),J.A. Jance,4,727861158,9780727861153,eng,256,41,11,2004-09-01T00:00:00Z,Severn House Publishers
3859,Holy Cows and Hog Heaven: The Food Buyer's Guide to Farm Friendly Food,Joel Salatin/Michael Pollan,4.01,963810944,9780963810946,eng,134,292,35,2005-02-19T00:00:00Z,Polyface
3940,Supreme Power: Hyperion,J. Michael Straczynski/Dan Jurgens,3.45,785118950,9780785118954,eng,120,232,9,2006-07-19T00:00:00Z,Marvel
4009,Nine Stories,J.D. Salinger,4.19,316767727,9780316767729,eng,198,112779,2897,2001-01-30T00:00:00Z,Little  Brown and Company
4100,Behind Closed Doors: Secrets of Great Management,Johanna Rothman/Esther Derby,3.96,976694026,9780976694021,en-US,176,840,63,2005-09-26T00:00:00Z,Pragmatic Bookshelf
4122,Built to Last: Successful Habits of Visionary Companies,James C. Collins/Jerry I. Porras,3.99,60566108,9780060566104,eng,368,53749,509,2004-11-02T00:00:00Z,Harper Business
4191,The Cold Six Thousand (Underworld USA #2),James Ellroy,4.01,037572740X,9780375727405,eng,688,5642,265,2002-06-11T00:00:00Z,Vintage
4256,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,074757362X,9780747573623,eng,480,3141,140,2008-07-01T00:00:00Z,Bloomsbury UK
4359,How Much is That Guinea Pig in the Window?,Joanne Rocklin/Meredith Johnson,4,590227165,9780590227162,en-US,48,27,7,1995-10-01T00:00:00Z,Scholastic  Inc.
4397,The Grapes of Wrath,John Steinbeck/Robert DeMott/Mick Wiggins,3.96,143039431,9780143039433,eng,464,7044,639,2006-03-28T00:00:00Z,Penguin Classics
4399,The Grapes of Wrath,John Steinbeck,3.96,582461537,9780582461536,eng,597,37,8,2001-03-01T00:00:00Z,Longman Schools Division (a Pearson Education Company)
4405,American Gospel: God  the Founding Fathers  and the Making of a Nation,Jon Meacham,3.8,1400065550,9781400065554,eng,399,1876,244,2006-04-04T00:00:00Z,Random House (NY)
4408,East of Eden,John Steinbeck,4.37,142004235,9780142004234,eng,601,3942,396,2002-06-18T00:00:00Z,Penguin Books
4415,East Of Eden,John Steinbeck,4.37,553116088,9780553116083,eng,691,83,18,1977-01-01T00:00:00Z,Bantam Books
4472,A Prayer for Owen Meany,John Irving,4.23,679642595,9780679642596,eng,641,1073,97,2002-06-04T00:00:00Z,Modern Library
4479,Sad Underwear and Other Complications: More Poems for Children and Their Parents,Judith Viorst/Richard  Hull,3.91,689833768,9780689833762,en-US,80,109,13,2000-04-01T00:00:00Z,Atheneum Books for Young Readers
4583,Everything Is Illuminated,Jonathan Safran Foer,3.9,60792175,9780060792176,eng,276,1764,191,2005-08-23T00:00:00Z,Harper Perennial
4584,Everything Is Illuminated,Jonathan Safran Foer,3.9,141008253,9780141008257,eng,276,5210,522,2003-06-05T00:00:00Z,Penguin Group
4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,618711651,9780618711659,eng,326,335477,19241,2006-04-04T00:00:00Z,Mariner Books
4595,The Genome War: How Craig Venter Tried to Capture the Code of Life and Save the World,James Shreeve,3.83,345433742,9780345433749,eng,392,272,23,2005-06-28T00:00:00Z,Ballantine Books
4610,Catch-22,Joseph Heller,3.98,99477319,9780099477310,eng,519,5517,452,1994-10-06T00:00:00Z,Vintage
4653,Until I Find You,John Irving,3.63,552773123,9780552773126,eng,928,198,33,2006-08-01T00:00:00Z,Black Swan
4654,The Imaginary Girlfriend,John Irving,3.42,345458265,9780345458261,eng,208,1841,112,2002-12-03T00:00:00Z,Ballantine Books
4656,The Fourth Hand,John Irving,3.31,345463153,9780345463159,eng,368,25257,977,2003-04-29T00:00:00Z,Fawcett Books
4657,The Water-Method Man,John Irving,3.35,034541800X,9780345418005,eng,272,10479,251,1997-06-23T00:00:00Z,Ballantine Books
4658,Setting Free the Bears,John Irving,3.3,345417984,9780345417985,eng,304,8896,217,1997-06-23T00:00:00Z,Ballantine Books
4660,The 158-Pound Marriage,John Irving,3.24,345417968,9780345417961,en-US,176,11346,280,1997-06-23T00:00:00Z,Ballantine Books
4777,Warfare in the Classical World: An Illustrated Encyclopedia of Weapons  Warriors  and Warfare in the Ancient Civilizations of Greece and Rome,John Warry/Phillip de ste. Croix,4.14,806127945,9780806127941,eng,224,383,19,1995-10-15T00:00:00Z,University of Oklahoma Press
4796,The Winter of Our Discontent,John Steinbeck/Susan Shillinglaw,3.99,143039482,9780143039488,eng,336,32091,1517,2008-08-26T00:00:00Z,Penguin Classics
4799,Cannery Row,John Steinbeck,4.04,014200068X,9780142000687,eng,181,96408,3909,2002-02-05T00:00:00Z,Penguin Books
4801,The Grapes of Wrath and Other Writings 1936â€“1941: The Long Valley / The Grapes of Wrath / The Log from the Sea of Cortez / The Harvest Gypsies,John Steinbeck/Elaine Steinbeck/Robert DeMott,4.41,1883011159,9781883011154,eng,1088,884,25,1996-09-01T00:00:00Z,Library of America
4802,Tortilla Flat,John Steinbeck,3.83,141185112,9780141185118,en-GB,154,438,38,2000-09-07T00:00:00Z,Penguin Classics
4803,The Log from the Sea of Cortez,John Steinbeck/Richard Astro,3.84,141186070,9780141186078,eng,288,3427,276,2001-01-18T00:00:00Z,Penguin Books Ltd
4900,Heart of Darkness,Joseph Conrad,3.42,1892295490,9781892295491,eng,188,321078,8423,2003-10-01T00:00:00Z,Green Integer
4906,Heart of Darkness and Other Tales,Joseph Conrad/Cedric Watts,3.58,192801724,9780192801722,eng,225,3761,177,2003-09-25T00:00:00Z,Oxford University Press
4907,Heart of Darkness,Joseph Conrad,3.42,159224646X,9781592246465,eng,132,92,11,2003-05-01T00:00:00Z,Wildside Press
